"ID_CLASSIFICACAO_PILOTOS","ID_RESULTADOS","ID_PILOTO","PONTOS_PILOTO","POSICAO_PILOTO","VITORIAS_PILOTO"
3445,347,8,69,4,2
3444,348,7,4,17,0
3443,349,6,9,15,0
3442,350,5,51,7,1
3441,351,4,53,6,2
3440,352,3,17,13,0
3439,353,2,60,5,0
3438,354,1,94,1,5
355,355,1,98,1,5
356,356,2,60,6,0
357,357,3,17,13,0
358,358,4,61,5,2
359,359,5,53,7,1
360,360,6,9,15,0
361,361,7,4,17,0
362,362,8,75,3,2
363,363,9,75,4,1
364,364,15,31,9,0
365,365,17,21,11,0
366,366,14,8,16,0
367,367,18,3,18,0
368,368,12,19,12,0
369,369,21,0,19,0
370,370,22,11,14,0
371,371,19,0,22,0
372,372,11,0,21,0
373,373,13,97,2,6
374,374,10,25,10,0
375,375,16,0,20,0
376,376,20,35,8,1
13629,377,16,0,17,0
13628,378,19,0,16,0
13627,379,18,0,15,0
13626,380,24,0,14,0
13625,381,17,0,13,0
13624,382,11,0,12,0
13623,383,22,0,11,0
13622,384,5,0,10,0
13621,385,15,0,9,0
13620,386,23,1,8,0
13619,387,3,2,7,0
13618,388,13,3,6,0
13617,389,21,4,5,0
13649,390,9,0,20,0
13648,391,26,0,17,0
13647,392,25,0,11,0
13646,393,16,0,19,0
13645,394,19,0,18,0
13644,395,18,0,15,0
13643,396,24,0,16,0
13642,397,17,0,12,0
13641,398,11,0,14,0
13640,399,22,0,13,0
13639,400,5,1,9,0
13638,401,15,2,7,0
13637,402,23,1,10,0
13635,403,13,7,6,0
13670,404,27,0,18,0
13669,405,9,3,8,0
13668,406,26,0,19,0
13667,407,25,0,12,0
13666,408,16,0,20,0
13665,409,19,0,21,0
13664,410,18,0,16,0
13663,411,24,0,17,0
13662,412,17,0,13,0
13661,413,11,0,15,0
13660,414,22,0,14,0
13659,415,5,1,10,0
13658,416,15,4,7,0
13657,417,23,1,11,0
13656,418,3,2,9,0
13655,419,13,17,4,1
13654,420,21,8,6,0
13653,421,2,15,5,0
13652,422,1,22,3,0
13651,423,4,22,1,1
13650,424,8,22,2,1
